Date,Week #,ETH Payout,USD per Megahash,ETH value in USD,,,WEEK,Eth Mined,Avg. daily USD per m/H,Expected USD based on reported avg,Calculated Eth Mined to USD,1 ETH in USD,,,,,,,
11/28/21,49,0.005,0.0695,4447.35,,,49,0.02,0.07425714286,88.366,87.78217143,4389.108571,,,,,,,
11/29/21,49,,0.0738,4629.33,,,50,0.015,0.06704285714,79.781,62.8425,4189.5,,,,,,,
11/30/21,49,0.005,0.0818,4586.68,,,51,0.015,0.06335714286,75.395,58.6788,3911.92,,,,,,,
12/1/21,49,,0.0782,4514.93,,,52,0.015,0.06284285714,74.783,60.59089286,4039.392857,,,,,,,
12/2/21,49,0.005,0.0753,4220.07,,,53,0.01,0.05158571429,61.387,32.3015,3230.15,,,,,,,
12/3/21,49,,0.0729,4124.01,,,,,,,,,,1.01,0.015,0.05984285714,61.387,48.45225,3777.321429
12/4/21,49,0.005,0.0683,4201.39,,,1,0.005,0.008257142857,9.826,2.735857143,547.1714286,,,,,,,
12/5/21,50,,0.0669,4350.68,,,2,0.015,0.05504285714,65.501,51.27728571,3418.485714,,,,,,,
12/6/21,50,0.005,0.0662,4309.33,,,3,0.015,0.05045714286,60.044,49.13164286,3275.442857,,,,,,,
12/7/21,50,,0.0662,4440.28,,,4,0.0163,0.04718571429,56.151,46.59750857,2858.742857,,,,,,,
12/8/21,50,0.005,0.0681,4105.16,,,5,0.015,0.03677142857,43.758,37.59835714,2506.557143,,,,,,,
12/9/21,50,,0.0678,3900.64,,,6,0.015,0.04345714286,51.714,42.705,2847,,,,,,,
12/10/21,50,,0.0685,4088.75,,,7,0.015,0.045,53.55,45.65453571,3043.635714,,,,,,,
12/11/21,50,0.005,0.0656,4131.66,,,8,0.01,0.04257142857,50.66,29.0045,2900.45,,,,,,,
12/12/21,51,,0.0659,3783.98,,,9,0.015,0.03914285714,46.58,39.75857143,2650.571429,,,,,,,
12/13/21,51,,0.0641,3861.59,,,10,0.015,0.0396,47.124,41.8335,2788.9,,,,,,,
12/14/21,51,0.005,0.0594,4019.91,,,11,0.005,0.0374,44.506,12.88960714,2577.921429,,,,,,,
